NDS;DESCRICAO DO SERVICO
492578;NECESARIO CORTAR BAMBU COM VENTO ELES BATEM NO JUMPER ENCIMA DA CF DO TRAFO P0102 ATUANDO ELO NA CR P TRAS E TBEM ESTAO POR CIMA DO RAMAL DO CLIENTE,BOM ACESO CHEGA VEICULO ATE O PS,FICOU TUDO LIGADO,  [PS=620646829 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=620646829,CORTAR CERCA VIVA/BAMBU=10  
492579;GERAR NDS PARA MANUTENCAO TROCAR TRAFO F7476   FEITO TESTE O MESMO ESTA COM NEUTRO ROMPIDO INETRNAMENTE  NECESSARIO A TROCA DO MESMO  LIVRE ACESSO PARA CAMINHAO,  [PS=793746489 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=793746489,PODAR ARVORE=1 PS=793746489,APRUMAR POSTE=1 PS=793746489,EMENDAR CONDUTOR(ES=1 PS=793746489,TRANSFORMADOR AVARIADO=1  
